,Content ID,Content Type,Category,Reaction Type,Month,Score
41,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,3,0
42,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,dislike,6,10
43,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,scared,2,15
44,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,8,35
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,3,5
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,5,5
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,5,65
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,8,65
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,9,65
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,indifferent,7,20
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,intrigued,9,45
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,3,50
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,heart,6,60
54,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,8,0
55,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,5,10
56,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,11,10
57,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,4,10
58,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,9,15
59,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,12,15
60,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,6,30
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,5,30
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,11,30
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,peeking,11,35
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,cherish,7,70
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,12,5
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,11,5
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,8,5
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,love,10,65
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,8,75
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,3,75
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,worried,8,12
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,like,6,50
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,12,60
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,6,60
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,5,60
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,7,70
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,11,70
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,1,72
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,10,72
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,8,72
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,11,72
82,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,scared,10,15
83,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,hate,9,5
84,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,indifferent,10,20
85,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,worried,4,12
86,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,10,60
87,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,5,60
88,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,want,9,70
149,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,super love,2,75
150,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,worried,7,12
151,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,heart,2,60
152,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,want,3,70
204,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,disgust,11,0
205,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,scared,10,15
206,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,scared,4,15
207,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,cherish,4,70
208,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,hate,8,5
209,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,love,8,65
210,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,love,12,65
211,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,love,3,65
212,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,indifferent,1,20
213,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,6,75
