Content ID,Content Type,Category,Reaction Type,Month,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,11,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,1,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,4,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,6,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,11,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,4,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,11,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,9,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,8,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,11,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,5,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,3,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,7,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,12,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,4,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,9,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,11,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,4,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,8,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,1,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,10,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,6,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,5,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,3,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,love,8,65
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,11,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,2,20
